0	Hendrix	2036	06:09:46	91	C:\Users\Comfort\Development\Common Lisp\riojasaurus	compilation
1	Gaines	1997	01:02:36	73	C:\Users\Starfish\Development\Tcl\melanorosaurus	concert
2	Nielsen	2012	04:32:24	4	C:\Users\Engravers\Dev\Clojure\chungkingosaurus	album
3	Fry	2032	23:41:26	65	C:\Users\Realty\Dev\OCaml\coelurus	album
4	Skinner	2034	22:06:02	92	C:\Users\Dogie\Dev\Io\conchoraptor	compilation
5	Palmer	2033	01:36:26	80	C:\Users\Utterancy\Dev\Clojure\stigma	concert
6	Estrada	1993	08:29:28	42	C:\Users\Cathedrals\Dev\TypeScript\gobisaurus	compilation
7	Brooks	2012	20:37:13	60	C:\Users\Burker\Development\Prolog\untenable	album
8	Wells	2047	11:45:20	70	C:\Users\Sledged\Dev\J#\peevish	compilation
9	Christensen	2007	00:54:00	13	C:\Users\Abiogenesis\Development\C\atlascopcosaurus	album
10	Winters	2018	20:32:57	78	C:\Users\Repentingly\Development\Groovy\euhelopus	concert
11	May	2007	07:33:11	84	C:\Users\Albatross\Development\Ruby\irritator	compilation
12	Branch	2000	23:27:59	18	C:\Users\Galagos\Dev\F#\acrocanthosaurus	concert
13	Delgado	2026	16:09:14	85	C:\Users\Prune\Development\Tcl\garudimimus	compilation
14	Neal	2006	22:33:23	99	C:\Users\Myalgic\Dev\C Shell\saurolophus	compilation
15	Hopper	2012	16:08:52	100	C:\Users\Rivals\Dev\Tex\spartan	album
16	Valencia	2024	23:34:38	8	C:\Users\Foreordaining\Dev\haXe\cryolophosaurus	album
17	Frye	2000	01:02:20	93	C:\Users\Ashlar\Development\Lisp\nanshiungosaurus	concert
18	Ashley	2037	03:51:07	24	C:\Users\Desynonymization\Dev\Mathematica\citipati	album
19	Irwin	2027	00:41:49	33	C:\Users\Caxton\Dev\Io\datousaurus	concert
20	Lester	2020	11:01:57	73	C:\Users\Cuttlefish\Dev\Transact-SQL\lapparentosaurus	album
21	Galloway	2011	08:15:16	13	C:\Users\Calculous\Dev\Awk\maxakalisaurus	concert
22	Garner	2005	08:23:37	49	C:\Users\Uncertainties\Development\Assembly\ingenia	album
23	Haynes	2017	10:03:34	57	C:\Users\Hawk\Dev\PHP\atlascopcosaurus	album
24	Preston	2007	09:12:24	97	C:\Users\Clarified\Dev\PL-I\maudlin	album
25	Ratliff	2025	09:03:46	58	C:\Users\Chuddar\Development\Emacs Lisp\equijubus	compilation
26	Palmer	2008	13:37:05	65	C:\Users\Toucan\Development\AutoIt\archaeoceratops	concert
27	Thomas	2023	17:11:10	95	C:\Users\Palaearctic\Development\ECMAScript\janenschia	compilation
